,word,Frequency
0,地震,50608
1,汶川,38552
2,哄抢,38159
3,救灾物资,38153
4,原因,35437
5,下载,25552
6,图片,18699
7,视频,18551
8,暗娼,15607
9,朗斯,12565
10,名单,11102
11,北京,11082
12,电影,10392
13,www,9409
14,地图,8656
15,免费,8492
16,封杀,7723
17,简历,7345
18,照片,7317
19,2008,7141
20,司令员,6732
21,现场,6522
22,尼泊尔,6515
23,在线,6238
24,价格,6228
25,++,6087
26,小说,6022
27,李湘,6017
28,广州军区,5966
29,手机,5960
30,最新,5746
31,自述,5665
32,观看,5461
33,游戏,5449
34,韩国,5343
35,大陆,5176
36,小游戏,4765
37,郭晶晶,4620
38,site,4537
39,四川,4478
40,解放军,4421
41,杨丞琳辱华,4366
42,蒋介石,4317
43,扫黄,4279
44,公安部,4237
45,qq,4233
46,警方,4109
47,成都,4065
48,百度,3869
49,录像,3861
50,http,3756
51,高级将领,3683
52,汽车,3626
53,事件,3582
54,奥运,3551
55,论坛,3525
56,全集,3505
57,QQ,3426
58,欧美,3407
59,高考,3341
60,电视剧,3316
61,歌曲,3315
62,马英九,3310
63,台湾,3235
64,杀人,3203
65,下场,3098
66,印尼,3090
67,空间,3072
68,英语,3070
69,惨痛,3060
70,mp3,3054
71,结婚,3048
72,倪萍,2993
73,唐山,2986
74,吕秀莲,2956
75,论文,2938
76,软件,2816
77,网站,2739
78,cn,2732
79,捐款,2702
80,飞机,2672
81,现役,2598
82,招聘,2560
83,音乐,2533
84,简介,2504
85,08,2490
86,baidu,2486
87,风水,2479
88,世界,2474
89,通缉犯,2452
90,小学,2449
91,三峡,2438
92,姚明,2433
93,失事,2390
94,国民党,2385
95,公司,2381
96,博客,2356
97,gay,2355
98,警卫局,2352
99,报价,2332
100,中将,2298
101,fs2you,2281
102,有限公司,2281
103,网络,2269
104,方法,2267
105,六一,2190
106,时尚,2167
107,2007,2165
108,五月天,2133
109,空军,2124
110,叛逃,2099
111,发型,2083
112,培训,2060
113,治疗,2054
114,sese,2048
115,婚姻,2047
116,祖坟,2033
117,生活,2032
118,迅雷,2018
119,企业,2007
120,经历,1992
121,深圳,1973
122,林彪,1972
123,儿童节,1954
124,伊拉克,1938
125,分析,1937
126,同志,1922
127,爆破,1920
128,www.97,1879
129,舒淇,1877
130,中文版,1875
131,新疆,1866
132,本能,1854
133,谷歌,1842
134,霍启刚,1795
135,管理,1775
136,bt,1738
137,科比,1737
138,全国,1726
139,排名,1721
140,97sese,1718
141,4399,1690
142,女士,1686
143,明星,1676
144,徐子淇,1670
145,朝鲜,1663
146,美容,1663
147,全国公安,1662
148,学院,1639
149,黑恶势力,1633
150,查询,1630
151,预测,1619
152,3d,1617
153,时间,1616
154,国王,1612
155,美国,1592
156,设计,1586
157,天龙八部,1580
158,考试,1573
159,档案,1570
160,抛弃,1567
161,通缉令,1542
162,教育,1535
163,山东,1519
164,代码,1507
165,医院,1497
166,儿童,1490
167,故事,1485
168,天津,1479
169,粟裕,1474
170,大学,1453
171,泳装,1438
172,土豆网,1426
173,中学,1424
174,txt,1420
175,学校,1419
176,旅游,1408
177,李嘉欣,1408
178,林毅夫,1407
179,地球,1400
180,资料,1400
181,广州,1399
182,歌词,1397
183,+++,1393
184,电视,1393
185,卫星,1377
186,抗震救灾,1374
187,排华,1373
188,诺基亚,1371
189,西安,1363
190,3gp,1356
191,王震,1331
192,报告,1330
193,加盟,1329
194,辽宁,1324
195,青岛,1314
196,优酷,1312
197,数学,1312
198,打败,1309
199,堰塞湖,1304
200,级片,1301
201,网址,1301
202,人质,1299
203,离婚,1291
204,沈阳,1285
205,电子书,1278
206,砍头,1277
207,灾区,1274
208,孩子,1269
209,蒙古国,1263
210,漫画,1263
211,电脑,1245
212,刘德华,1234
213,设备,1232
214,绳艺,1226
215,免费电影,1222
216,刺激,1214
217,pcpop,1199
218,前夫,1197
219,维修,1192
220,传递,1188
221,落地,1188
222,组图,1184
223,国际,1182
224,工资,1164
225,怎么回事,1158
226,服装,1155
227,技术,1154
228,油耗,1146
229,外挂,1139
230,领导,1136
231,free,1135
232,华人,1131
233,中华,1131
234,王菲,1130
235,北川,1127
236,私服,1125
237,生平,1124
238,死亡,1124
239,南京,1124
240,调查,1122
241,面相,1122
242,短信,1116
243,信息,1116
244,十大,1114
245,试题,1108
246,sm,1104
247,整容,1101
248,受孕,1097
249,济南,1097
250,奥特曼,1095
251,范冰冰,1094
252,赵薇,1091
253,俄罗斯,1089
254,主题,1088
255,症状,1084
256,胡锦涛,1079
257,年龄,1072
258,传奇,1070
259,投资,1069
260,感人,1068
261,后代,1066
262,集团,1065
263,火炬,1050
264,沈国放,1048
265,文章,1048
266,亚洲,1048
267,火影忍者,1045
268,新闻,1044
269,经典,1032
270,分娩,1032
271,国家,1030
272,东方,1027
273,格式,1026
274,唐家山,1023
275,合成,1022
276,政治,1020
277,演唱会,1017
278,163,1010
279,海军,1008
280,莎朗,1006
281,残害,1002
282,皮肤,998
283,娱乐,995
284,知识,994
285,武汉,993
286,dj,991
287,林青霞,984
